space,algorithm,config,n_components,n_neighbors,min_cluster_size,min_samples,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,ari_vs_zhicheng_shared,is_zhicheng_shared
umap10,hdbscan,nn10_hdbscan_mcs8_ms1,10,10,8,1,20,56,0.12253829321663019,0.8774617067833698,8,53,0.06188990920782089,0.4831534894365963,False
umap10,hdbscan,nn10_hdbscan_mcs8_ms3,10,10,8,3,19,62,0.13566739606126915,0.8643326039387309,8,52,0.06875522434711456,0.5192630177374011,False
umap10,hdbscan,nn10_hdbscan_mcs8_ms5,10,10,8,5,17,78,0.17067833698030635,0.8293216630196937,11,52,0.0803346335887909,0.5175166510697313,False
umap10,hdbscan,nn10_hdbscan_mcs8_ms8,10,10,8,8,18,130,0.2844638949671772,0.7155361050328227,8,51,0.09770616888999939,0.38014117286223936,False
umap10,hdbscan,nn10_hdbscan_mcs10_ms1,10,10,10,1,18,60,0.13129102844638948,0.8687089715536105,11,53,0.06652291864156723,0.500464573186907,False
umap10,hdbscan,nn10_hdbscan_mcs10_ms3,10,10,10,3,18,70,0.15317286652078774,0.8468271334792122,11,52,0.0699739083647728,0.503048519397937,False
umap10,hdbscan,nn10_hdbscan_mcs10_ms5,10,10,10,5,17,78,0.17067833698030635,0.8293216630196937,11,52,0.0803346335887909,0.5175166510697313,False
umap10,hdbscan,nn10_hdbscan_mcs10_ms8,10,10,10,8,16,114,0.24945295404814005,0.75054704595186,11,51,0.09713737666606903,0.41777305087045385,False
umap10,hdbscan,nn10_hdbscan_mcs10_ms10,10,10,10,10,13,97,0.212253829321663,0.787746170678337,11,117,0.07024474442005157,0.3429550077319128,False
umap10,hdbscan,nn10_hdbscan_mcs12_ms1,10,10,12,1,16,63,0.13785557986870897,0.862144420131291,12,53,0.06848166882991791,0.5461520043401523,False
